,Laptop_ID,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Weight IN KG
15,15,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,IntelIrisPlusGraphics640,macOS,1.37,80908.344,1.37
16,16,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMDRadeonR5M430,Windows 10,2.2,39693.6,2.2
17,17,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMDRadeonPro560,macOS,1.83,152274.24,1.83
18,18,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,NvidiaGeForce940MX,No OS,2.2,26586.72,2.2
19,19,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,IntelUHDGraphics620,Windows 10,1.22,52161.12,1.22
20,,,,,,,,,,,,,
21,21,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,NvidiaGeForceGTX1050,Windows 10,2.5,53226.72,2.5
22,22,HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMDRadeonR2,No OS,1.86,13746.24,1.86
23,23,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.62,43636.32,1.62
24,24,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10,1.91,35111.52,1.91
25,25,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,IntelHDGraphics520,Windows 10,2.3,22305.1392,2.3
26,26,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,IntelHDGraphics6000,Mac OS X,1.35,58554.72,1.35
27,27,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMDRadeon530,Windows 10,2.2,42624.0,2.2
28,28,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,IntelUHDGraphics620,Windows 10,1.88,69157.44,1.88
29,29,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,NvidiaGeForce930MX,Windows 10,2.5,47738.88,2.5
30,30,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,IntelHDGraphics,Windows 10,1.89,13053.0672,1.89
31,31,Asus,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMDRadeonR2,Windows 10,1.65,10602.72,1.65
32,32,HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMDRadeon530,Windows 10,2.71,23389.92,2.71
33,33,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,IntelUHDGraphics620,Windows 10,1.2,99580.32,1.2
34,34,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,IntelHDGraphics6000,Mac OS X,1.35,53173.44,1.35
35,35,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,IntelHDGraphics500,Windows 10,1.44,13266.72,1.44
36,36,Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,IntelHDGraphics620,Linux,2.1,19553.76,2.1
37,37,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMDRadeon530,Windows 10,2.8,52161.12,2.8
38,38,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,IntelHDGraphics620,Windows 10,1.86,26037.4032,1.86
39,39,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,NvidiaGeForce930MX,Windows 10,2.1,46833.12,2.1
40,40,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,IntelHDGraphics620,Linux,2.0,20725.92,2.0
41,41,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NvidiaGeForceGTX1060,Windows 10,2.65,79866.72,2.65
42,42,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,NvidiaGeForce940MX,Linux,2.3,27864.9072,2.3
43,43,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,IntelUHDGraphics620,Windows 10,2.2,36336.96,2.2
44,44,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,NvidiaGeForce150MX,Windows 10,2.77,53226.72,2.77
45,45,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,IntelIrisGraphics540,macOS,1.37,75604.32,1.37
46,,,,,,,,,,,,,
47,47,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMDRadeonRX580,Windows 10,3.2,69210.72,3.2
48,48,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMDRadeonR5M430,Windows 10,2.3,34045.92,2.3
49,49,Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,NvidiaGeForce920MX,Windows 10,2.8,24828.48,2.8
50,,,,,,,,,,,,,
51,51,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,NvidiaGeForceMX150,Windows 10,2.2,44808.48,2.2
52,52,HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMDRadeonR4Graphics,Windows 10,1.86,21231.5472,1.86
53,53,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,IntelUHDGraphics620,Windows 10,1.49,58767.84,1.49
54,54,Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,IntelHDGraphics620,Windows 10,2.4,20459.52,2.4
55,55,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMDRadeon520,Windows 10,2.13,40908.384,2.13
56,56,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,IntelHDGraphics520,Windows 10,1.91,23389.92,1.91
57,57,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,IntelHDGraphics620,Windows 10,2.0,31232.2032,2.0
58,58,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,NvidiaGeForceGTX1070,Windows 10,2.43,130482.72,2.43
59,59,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,IntelHDGraphics520,Linux,2.0,22111.2,2.0
60,60,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMDRadeon530,Windows 10,2.8,69210.72,2.8
61,61,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.7,46833.12,1.7
62,62,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,IntelHDGraphics620,No OS,1.7,31914.72,1.7
63,63,Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.4,50136.48,1.4
64,64,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10,1.86,36763.2,1.86
65,65,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,NvidiaGeForceGTX1050Ti,Windows 10,1.8,105654.24,1.8
66,66,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,AMDRadeon520,Windows 10,1.86,23373.4032,1.86
67,67,HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,IntelHDGraphics400,Windows 10,1.44,12201.12,1.44
68,68,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,IntelHDGraphics620,Windows 10,1.9,29250.72,1.9
69,69,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,NvidiaGeForceGTX1050Ti,Linux,3.0,50562.72,3.0
70,70,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,IntelHDGraphics620,Windows 10 S,1.252,58021.92,1.252
71,71,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,64GB,256GB SSD,AMDRadeon530,Windows 10,1.4,50882.4,1.4
72,72,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMDRadeon530,Windows 10,2.2,46353.6,2.2
73,73,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,NvidiaGeForceGTX1050,Windows 10,2.7,58341.6,2.7
74,74,Acer,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,IntelHDGraphics520,Windows 10,2.1,20725.92,2.1
75,75,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,NvidiaGeForceGTX1050,Windows 10,2.2,50562.72,2.2
76,76,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,IntelHDGraphics620,No OS,2.2,27652.32,2.2
77,77,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,IntelUHDGraphics620,Windows 10,2.02,45554.4,2.02
78,78,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,NvidiaGeForceMX130,Windows 10,2.2,28238.4,2.2
79,79,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,NvidiaGeForce930MX,Windows 10,2.5,52054.56,2.5
80,80,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.88,58403.4048,1.88
81,81,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,IntelHDGraphics615,macOS,0.92,80452.8,0.92
82,82,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10,1.63,45820.8,1.63
83,83,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMDR4Graphics,Windows 10,2.2,21258.72,2.2
84,84,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMDRadeonR5,Windows 10,2.1,21045.6,2.1
85,85,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,NvidiaGeForceGTX1050Ti,Windows 10,2.65,71874.72,2.65
86,86,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,NvidiaGeForceGTX940MX,Windows 10,1.83,37242.72,1.83
87,87,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10,1.96,31914.1872,1.96
88,88,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,NvidiaGeForceGTX1060,Windows 10,2.2,77202.72,2.2
89,89,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.21,87858.72,1.21
90,90,Asus,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8GB,1TB HDD,AMDRadeonRX560,Windows 10,2.45,37242.72,2.45
91,91,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,2GB,1TB HDD,NvidiaGeForceMX150,Windows 10,2.2,36709.92,2.2
92,92,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,IntelUHDGraphics620,Windows 10,1.49,63776.16,1.49
93,93,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,NvidiaGeForceGTX1060,Windows 10,2.65,63669.6,2.65
94,94,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10,1.25,55890.72,1.25
95,95,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.5,45128.16,1.5
96,96,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMDRadeonR5M430,Linux,2.2,31962.672,2.2
97,97,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMDRadeonR5M430,Linux,2.2,25840.8,2.2
98,98,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,256GB SSD,NvidiaGeForce920M,Windows 10,2.0,30742.56,2.0
99,99,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,128GB SSD +  1TB HDD,NvidiaGeForceGTX1050,Windows 10,2.62,66546.72,2.62
100,100,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMDRadeon530,Windows 10,1.91,38308.32,1.91
101,101,HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMDRadeonR2,Windows 10,2.1,18594.72,2.1
102,102,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMDRadeon520,Linux,2.2,34472.16,2.2
103,103,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NvidiaGeForceMX150,Windows 10,1.38,59620.32,1.38
104,104,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10 S,1.252,71395.2,1.252
105,105,HP,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,NvidiaGeForce940MX,Windows 10,1.58,35111.52,1.58
106,106,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,IntelHDGraphics520,Windows 10,1.85,22105.872,1.85
107,107,Asus,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NvidiaGeForce940MX,Windows 10,1.3,63563.04,1.3
108,108,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NvidiaGeForceGTX1050Ti,Windows 10,2.2,69210.72,2.2
109,109,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10,1.58,78854.4,1.58
110,110,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  1TB HDD,NvidiaGeForceMX150,Windows 10,1.5,67239.36,1.5
111,111,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8GB,256GB SSD,IntelIrisPlusGraphics640,Windows 10,1.23,73473.12,1.23
112,112,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,IntelHDGraphics620,Windows 10,1.37,74538.72,1.37
113,113,HP,Notebook,14,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,IntelUHDGraphics620,Windows 10,1.63,38468.16,1.63
114,114,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.21,86793.12,1.21
115,,,,,,,,,,,,,
116,116,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,IntelUHDGraphics620,Windows 10,1.63,57755.52,1.63
117,117,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  1TB HDD,NvidiaGeForce940MX,Windows 10,2.16,60223.9824,2.16
118,118,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,NvidiaGeForce920MX,Windows 10,2.0,30049.92,2.0
119,119,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,NvidiaGeForce940MX,Windows 10,1.7,59567.04,1.7
120,120,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,IntelHDGraphics620,Windows 10,2.1,25521.12,2.1
121,121,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,NvidiaGeForceGTX1070,Windows 10,1.8,119427.12,1.8
122,122,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NvidiaGeForce940MX,No OS,2.2,33513.12,2.2
123,123,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,NvidiaGeForce930MX,Windows 10,2.5,67718.88,2.5
124,124,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMDRadeonR5,Windows 10,2.1,24029.28,2.1
125,,,,,,,,,,,,,
126,126,HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,IntelUHDGraphics620,Windows 10,1.63,43263.36,1.63
127,127,Asus,Notebook,14,1366x768,AMD E-Series 6110 1.5GHz,4GB,64GB SSD,AMDRadeonR2,Windows 10 S,1.65,14811.3072,1.65
128,128,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMDRadeon530,Windows 10,2.8,74378.88,2.8
129,129,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,2.5,49443.84,2.5
130,130,Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMDRadeonR7M445,Windows 10,2.36,34045.3872,2.36
131,131,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMDRadeonR5M430,Windows 10,2.2,23922.72,2.2
132,132,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.6,47099.52,1.6
133,133,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,NvidiaGeForceMX130,Windows 10,7.2,30476.16,7.2
134,134,HP,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,IntelHDGraphics620,Windows 10,2.05,31861.44,2.05
135,135,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.63,52640.64,1.63
136,136,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,IntelHDGraphics500,No OS,1.9,13445.7408,1.9
137,137,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,NvidiaGeForceGTX1050,Windows 10,3.0,49976.64,3.0
138,138,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,NvidiaGeForce920MX,No OS,2.2,26586.72,2.2
139,139,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,IntelHDGraphics620,Windows 10,1.32,37242.72,1.32
140,140,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,NvidiaGeForceMX130,Windows 10,3.0,34898.4,3.0
141,141,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMDRadeonRX550,Windows 10,1.75,59461.5456,1.75
142,142,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,NvidiaGeForceGTX1050M,No OS,2.4,46300.32,2.4
143,143,Toshiba,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,IntelHDGraphics520,Windows 10,2.1,32074.56,2.1
144,144,HP,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMDRadeonR4Graphics,Windows 10,1.86,19660.32,1.86
145,145,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,IntelUHDGraphics620,Windows 10,1.25,58554.72,1.25
146,146,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,IntelHDGraphics515,Windows 10,0.97,107305.92,0.97
147,147,Asus,Notebook,15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,IntelHDGraphics500,Windows 10,2.0,18328.32,2.0
148,,,,,,,,,,,,,
149,149,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,IntelHDGraphics520,Windows 10,2.1,23816.16,2.1
150,150,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,NvidiaGeForceGTX1050,Windows 10,2.56,66560.5728,2.56
151,151,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1.0TB Hybrid,NvidiaGeForceGTX1050,Windows 10,2.62,47898.72,2.62
152,152,Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,IntelHDGraphics620,Windows 10,1.9,26533.44,1.9
153,153,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NvidiaGeForceGTX1060,Windows 10,2.8,100699.2,2.8
154,154,HP,Ultrabook,14,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4GB,256GB SSD,IntelHDGraphics620,Windows 10,1.48,57648.96,1.48
155,155,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6GB,256GB SSD,AMDRadeon520,Windows 10,1.91,32980.32,1.91
